0,190,55968
2,472,53724
4,457,52133
7,475,57506
13,462,56755
18,475,55728
19,448,53795
22,445,54343
28,490,52417
29,444,54983
32,454,56811
33,463,54776
35,488,57418
38,446,50603
40,442,55552
65,460,52773
71,497,56539
71,478,57922
71,376,56260
71,122,57609
71,106,59170
71,4,53955
72,484,55189
74,443,54176
75,492,52169
78,476,51577
80,495,52824
92,483,57790
98,468,55384
101,485,56641
112,470,52995
114,492,52144
121,481,56881
122,485,52506
123,495,52650
127,486,54926
127,485,55720
133,474,56520
133,439,54044
134,456,54954
135,405,60943
135,371,57840
136,475,56831
137,455,54200
144,444,54190
145,488,55337
145,451,52583
146,465,59918
152,476,50811
153,462,58022
166,497,54593
171,498,54266
175,465,61253
179,458,53432
188,478,55393
188,473,51402
191,486,55689
191,478,59349
192,444,54382
195,442,54928
196,461,53533
197,457,55857
198,494,54102
206,460,50530
208,465,58636
209,471,54745
216,455,53669
218,470,51701
219,480,56785
221,451,54525
225,478,58224
234,461,52342
238,461,51972
239,490,56941
248,498,56533
249,458,54728
263,464,55781
263,456,56598
263,323,55848
268,493,51891
271,498,57163
271,479,52528
273,454,57908
279,489,49649
281,469,55411
284,448,56416
290,452,56830
290,438,54535
307,432,57528
308,485,53163
308,483,54897
308,459,54420
310,477,54504
310,470,52898
313,475,55130
313,436,52244
320,453,53316
320,448,54722
325,451,57718
331,473,50657
334,460,51919
337,447,54932
338,474,56615
342,444,55886
345,454,56414
346,477,55122
346,467,52407
348,499,53138
354,497,53057
358,477,56883
359,491,53719
361,489,53302
361,480,58348
365,466,53909
365,446,52401
369,459,55627
374,459,57550
379,449,55164
383,467,53520
386,459,58377
391,497,53183
391,331,54407
398,490,55668
401,451,56164
410,464,52948
417,483,58535
422,459,57979
429,438,52249
434,470,51592
437,496,51340
443,493,53568
444,492,49432
444,466,51501
448,452,58468
450,454,57567
454,462,54378
463,449,57075
465,473,52045
473,443,56406
474,441,54060
477,443,53527
479,463,54326
483,436,52698
484,450,54164
491,496,57643
491,460,56131
495,451,55969
498,495,56349
2,303,53139
2,80,51690
3,367,54518
3,89,58668
3,57,55491
3,22,56401
4,405,56018
4,185,54757
5,225,57999
6,408,53757
6,393,52774
6,327,52616
6,274,54521
6,117,55338
7,132,58419
7,55,56551
8,419,56053
8,264,56663
8,235,55668
8,52,57049
10,398,58000
10,267,59003
10,264,54300
10,85,55233
11,329,51400
11,155,51904
12,169,55346
12,115,51187
14,175,57005
15,375,55953
15,270,54251
15,182,54471
15,26,54375
15,14,53663
17,357,52064
17,336,52766
17,138,53539
18,340,53312
18,217,55394
18,185,55518
18,95,53996
18,68,52468
20,307,57715
20,121,56081
21,338,54076
21,326,50473
21,140,52218
22,435,55924
22,329,52151
22,53,54221
23,320,54400
23,282,57211
24,210,50235
25,61,54678
26,255,57145
27,365,55532
27,65,56367
28,405,57443
28,63,53202
28,16,54302
29,310,57816
31,393,52310
31,377,52273
31,349,51256
32,250,52705
32,79,54223
32,26,52759
33,355,55164
33,329,54486
33,37,57497
35,303,53860
35,269,56038
35,265,53639
35,229,53968
35,171,54741
35,45,51420
36,192,52820
36,83,54572
37,401,56393
37,227,56002
37,191,54785
37,138,56023
38,405,53984
38,213,52572
39,330,56179
39,11,56968
40,338,58178
40,329,55492
40,167,58001
41,312,56647
41,180,58336
41,103,55727
42,434,59961
42,397,58443
42,96,58435
43,228,54896
43,206,55268
43,100,56729
43,7,55965
44,415,53230
44,357,54560
47,425,56248
47,262,51974
47,198,56931
47,32,54600
47,24,54225
48,329,54294
49,180,55391
49,49,51070
51,311,51488
52,415,51410
52,332,51903
52,316,54690
52,156,51812
52,58,53371
53,242,56746
53,218,58562
53,103,57939
53,49,53545
56,130,59194
56,30,59267
56,26,56779
57,399,52316
57,393,55238
57,91,53811
58,128,50291
58,93,53207
58,81,53931
58,34,52861
58,32,54121
59,431,54421
59,320,52838
59,196,53016
59,181,57167
60,201,58892
60,84,54364
61,318,52215
61,13,53027
62,416,59656
62,305,56201
62,269,59259
62,243,57789
62,143,54244
62,87,55844
63,322,55968
63,81,55394
64,48,55107
65,213,53790
65,50,51190
67,322,54180
68,57,56295
69,195,56779
69,158,55239
69,112,55122
73,251,55451
73,153,51959
73,152,57278
73,98,56195
74,392,57263
74,199,57494
75,313,52483
75,295,54437
75,200,53449
75,175,54881
75,107,53168
75,97,56050
76,368,55703
76,321,54090
77,235,54734
